step, lat, lon, alt, snr, load, handovers, allocated_bw, allocation_ratio, demand_MB, throughput_req, queing_delay_s, propagation_latency_s, transmission_rate_mbps, latency_req_s, beam_capacity, service_drop_s, dwell_remaining_s, ttt_remaining_s
0,29.956899642944336,-95.33689880371094,327.6600036621094,3.5031321048736572,0.29405003786087036,0.0,0.5249999761581421,1.0,0.5249999761581421,4.199999809265137,0.0,0.008274085819721222,338.8559875488281,0.0,42.356998443603516,0.0,14.0,0.0
1,29.954181671142578,-95.33330535888672,365.760009765625,-10.843350410461426,0.2936345040798187,0.0,2.8658318519592285,1.0,2.8658318519592285,4.199999809265137,0.0,0.008275732398033142,28.541858673095703,0.0,231.3513946533203,0.0,8.54127311706543,0.0
2,29.951461791992188,-95.3297119140625,403.8599853515625,-10.845139503479004,0.29478543996810913,0.0,6.105392932891846,1.0,6.105392932891846,9.199999809265137,0.0,0.008283044211566448,28.53055763244629,0.10000000149011612,224.640625,0.0,3.2322356700897217,0.0
3,29.94874382019043,-95.32611846923828,441.9599914550781,-10.852869033813477,0.2985154688358307,0.0,5.942443370819092,1.0,5.942443370819092,9.199999809265137,0.0,0.008295557461678982,28.481773376464844,0.10000000149011612,217.48861694335938,0.0,0.0,0.0
4,29.945999145507812,-95.32227325439453,472.44000244140625,-10.86605167388916,0.3000856041908264,0.0,5.998755931854248,1.0,5.998755931854248,9.199999809265137,0.0,0.008313602767884731,28.398767471313477,0.10000000149011612,219.05821228027344,0.0,0.0,4.783690452575684
5,29.94325065612793,-95.31836700439453,501.0150146484375,-10.884987831115723,0.29852941632270813,0.0,5.858184337615967,1.0,5.858184337615967,9.199999809265137,0.0,0.008336414583027363,28.27992820739746,0.10000000149011612,214.4005584716797,0.0,0.0,0.0
6,29.940500259399414,-95.31446075439453,529.5900268554688,-10.90884780883789,0.2953946888446808,0.0,5.666996955871582,1.0,5.666996955871582,9.199999809265137,0.0,0.00836331956088543,28.130870819091797,0.10000000149011612,208.33023071289062,0.0,0.0,5.072176933288574
7,29.937694549560547,-95.31027221679688,553.8787231445312,-10.936882019042969,0.2995927631855011,0.0,5.74918794631958,1.0,5.74918794631958,9.199999809265137,0.0,0.008395443670451641,27.95670509338379,0.10000000149011612,210.09251403808594,0.0,0.0,0.07288269698619843
8,29.934850692749023,-95.30590057373047,575.3099975585938,-10.970235824584961,0.29733577370643616,0.0,5.720889568328857,1.0,5.720889568328857,9.199999809265137,0.0,0.008432180620729923,27.750844955444336,0.10000000149011612,209.7320556640625,0.0,0.0,0.0
9,29.9320068359375,-95.30152130126953,596.7412719726562,-11.008220672607422,0.2903288006782532,0.0,5.517295837402344,1.0,5.517295837402344,9.199999809265137,0.0,0.008472058922052383,27.518171310424805,0.10000000149011612,204.28517150878906,0.0,0.0,5.2023515701293945
10,29.928987503051758,-95.29693603515625,620.0775146484375,-11.049242973327637,0.2857145071029663,0.0,5.605780601501465,1.0,5.605780601501465,9.199999809265137,0.0,0.008516992442309856,27.26900291442871,0.10000000149011612,208.9110107421875,0.0,0.0,0.32775983214378357
11,29.92570686340332,-95.29203033447266,646.271240234375,-11.095232009887695,0.29306650161743164,0.0,5.817105293273926,1.0,5.817105293273926,9.199999809265137,0.0,0.008568262681365013,26.992244720458984,0.10000000149011612,214.5551300048828,0.0,0.0,0.0
12,29.92242431640625,-95.28712463378906,672.4650268554688,-11.147429466247559,0.29194167256355286,0.0,5.617822170257568,1.0,5.617822170257568,9.199999809265137,0.0,0.008622188121080399,26.681411743164062,0.10000000149011612,207.53456115722656,0.0,0.0,5.1149373054504395
13,29.919055938720703,-95.28216552734375,704.8499755859375,-11.201960563659668,0.2968383729457855,0.0,5.541399002075195,1.0,5.541399002075195,9.199999809265137,0.0,0.008679531514644623,26.36035919189453,0.10000000149011612,203.29559326171875,0.0,0.0,0.2963295578956604
14,29.915340423583984,-95.2770004272461,762.0,-11.259498596191406,0.2962699830532074,0.0,5.815911293029785,1.0,5.815911293029785,9.199999809265137,0.0,0.008744004182517529,26.025644302368164,0.10000000149011612,213.5390167236328,0.0,0.0,0.0
15,29.911623001098633,-95.27183532714844,819.1500244140625,-11.323851585388184,0.29144808650016785,0.0,5.7292914390563965,1.0,5.7292914390563965,9.199999809265137,0.0,0.008811812847852707,25.656137466430664,0.10000000149011612,211.80001831054688,0.0,0.0,5.018007278442383
16,29.907907485961914,-95.26667022705078,876.2999877929688,-11.391019821166992,0.2837211489677429,0.0,5.6452178955078125,1.0,5.6452178955078125,9.199999809265137,0.0,0.008882706053555012,25.275869369506836,0.10000000149011612,210.96783447265625,0.0,0.0,0.1091223731637001
17,29.904190063476562,-95.2614974975586,933.4500122070312,-11.460687637329102,0.2758529484272003,0.0,5.563579082489014,1.0,5.563579082489014,9.199999809265137,0.0,0.008956444449722767,24.887203216552734,0.10000000149011612,210.20083618164062,0.0,0.0,5.162105083465576
18,29.90047264099121,-95.25633239746094,990.5999755859375,-11.53255844116211,0.27735549211502075,0.0,5.48427152633667,1.0,5.48427152633667,9.199999809265137,0.0,0.009032804518938065,24.492294311523438,0.10000000149011612,206.77455139160156,0.0,0.0,5.231068134307861
19,29.896745681762695,-95.25103759765625,1042.579345703125,-11.606372833251953,0.26859408617019653,0.0,5.507368087768555,1.0,5.507368087768555,9.199999809265137,0.0,0.009113077074289322,24.09300994873047,0.10000000149011612,210.16287231445312,0.0,0.0,5.210984230041504
20,29.89297866821289,-95.2452163696289,1073.875732421875,-11.683341979980469,0.2621132731437683,0.0,5.848808288574219,1.0,5.848808288574219,9.199999809265137,0.0,0.009202196262776852,23.683368682861328,0.10000000149011612,225.16998291015625,0.0,0.0,0.12506406009197235
21,29.889211654663086,-95.23939514160156,1105.172119140625,-11.76793098449707,0.2521318197250366,0.0,5.832046031951904,1.0,5.832046031951904,9.199999809265137,0.0,0.009294861927628517,23.240947723388672,0.10000000149011612,227.56182861328125,0.0,0.0,4.928655624389648
22,29.88544273376465,-95.23357391357422,1136.4686279296875,-11.855016708374023,0.2512744665145874,0.0,5.815380573272705,1.0,5.815380573272705,9.199999809265137,0.0,0.009390931576490402,22.79383087158203,0.10000000149011612,227.17169189453125,0.0,0.0,4.9431471824646
23,29.881675720214844,-95.22775268554688,1167.7650146484375,-11.94438648223877,0.2395714521408081,0.0,5.798811435699463,1.0,5.798811435699463,9.199999809265137,0.0,0.009490265510976315,22.343656539916992,0.10000000149011612,230.06512451171875,0.0,0.0,0.0
