step, snr, load, capacity, handovers, total_allocated_bw, allocation
0,-15.290815353393555,0.01535643357783556,0.007371088024228811,1.0,1.6029317378997803,1.0
1,-12.844210624694824,0.5454311966896057,0.2618069648742676,2.0,145.73818969726562,1.0
2,-12.868256568908691,0.23175476491451263,0.11124228686094284,3.0,318.68109130859375,0.575710654258728
3,-12.942523956298828,0.9545601010322571,0.45818883180618286,4.0,530.7339477539062,1.0
4,-13.05945873260498,0.44129231572151184,0.2118203192949295,5.0,589.4821166992188,1.0
5,-13.21956729888916,0.42091798782348633,0.2020406424999237,6.0,666.9837646484375,1.0
6,-13.612835884094238,0.9986089468002319,0.4793322682380676,7.0,855.0003051757812,1.0
7,-13.341400146484375,0.14288006722927094,0.0685824304819107,8.0,907.7410888671875,1.0
8,-13.157196998596191,0.7332110404968262,0.3519412875175476,9.0,980.5722045898438,1.0
9,-12.976161003112793,0.4029247760772705,0.19340388476848602,10.0,1114.28271484375,1.0
10,-12.942402839660645,0.9555725455284119,0.458674818277359,11.0,1147.413330078125,1.0
11,-12.994004249572754,0.850866973400116,0.40841615200042725,12.0,1493.2052001953125,1.0
12,-13.203805923461914,0.24196188151836395,0.11614169925451279,13.0,1592.9102783203125,1.0
13,-13.392733573913574,0.5698200464248657,0.2735136151313782,14.0,2072.240478515625,1.0
14,-13.570116996765137,0.44059714674949646,0.21148663759231567,15.0,2475.84814453125,1.0
15,-13.526119232177734,0.8295682668685913,0.39819276332855225,16.0,2706.2490234375,1.0
16,-13.06208610534668,0.7160592079162598,0.3437083959579468,17.0,3130.900146484375,1.0
17,-13.035760879516602,0.219560906291008,0.10538923740386963,18.0,3295.796142578125,1.0
18,-13.557758331298828,0.956062912940979,0.458910197019577,19.0,3596.309326171875,1.0
19,-13.862669944763184,0.965695858001709,0.46353399753570557,20.0,3915.322265625,1.0
20,-13.886102676391602,0.09742467850446701,0.04676384478807449,21.0,4026.78955078125,0.3329252302646637
21,-13.409542083740234,0.1949523538351059,0.09357713162899017,22.0,4202.951171875,1.0
22,-13.271553993225098,0.9268229603767395,0.444875031709671,23.0,4351.65185546875,1.0
23,-13.30331802368164,0.2803601920604706,0.13457289338111877,24.0,4664.599609375,0.753952145576477
24,-13.257168769836426,0.9635128974914551,0.4624861776828766,25.0,4776.55322265625,1.0
25,-13.563153266906738,0.6677192449569702,0.3205052316188812,26.0,5166.9189453125,1.0
26,-13.644721031188965,0.6644991040229797,0.3189595937728882,27.0,5300.90673828125,1.0
27,-13.408490180969238,0.09781788289546967,0.04695258289575577,28.0,5384.48681640625,0.4530707895755768
28,-13.212952613830566,0.0437849685549736,0.021016784012317657,29.0,5566.244140625,1.0
29,-13.224180221557617,0.380749374628067,0.18275970220565796,30.0,5583.4794921875,1.0
30,-13.479076385498047,0.4222756028175354,0.20269228518009186,31.0,5786.27490234375,1.0
31,-13.847378730773926,0.9367265105247498,0.44962871074676514,32.0,6040.75634765625,1.0
32,-13.39487075805664,0.2642170786857605,0.12682418525218964,33.0,6350.65966796875,1.0
33,-13.148856163024902,0.06830981373786926,0.0327887125313282,34.0,6396.33203125,0.08653640002012253
34,-13.058418273925781,0.5583812594413757,0.2680230140686035,35.0,6749.36181640625,1.0
35,-13.136906623840332,0.17366532981395721,0.08335936069488525,36.0,6800.17236328125,1.0
36,-13.389095306396484,0.8226872086524963,0.39488986134529114,37.0,7267.1708984375,1.0
37,-13.718810081481934,0.3675802946090698,0.17643854022026062,38.0,7631.30908203125,1.0
38,-13.498047828674316,0.7132609486579895,0.3423652648925781,39.0,7846.40185546875,1.0
39,-13.299566268920898,0.004011672455817461,0.001925602788105607,40.0,7846.44482421875,0.0001878718176158145
40,-13.457737922668457,0.7513540983200073,0.3606499433517456,41.0,8072.37255859375,1.0
41,-13.344024658203125,0.6257805824279785,0.3003746569156647,42.0,8280.16796875,1.0
42,-13.37924575805664,0.31035688519477844,0.1489713042974472,43.0,8392.3857421875,1.0
43,-13.27504825592041,0.26234230399131775,0.12592430412769318,44.0,8455.0673828125,1.0
