step, lat, lon, alt, snr, load, handovers, allocated_bw, allocation_ratio, demand_MB, throughput_req, queing_delay_s, propagation_latency_s, transmission_rate_mbps, latency_req_s, beam_capacity
0,29.95526885986328,-95.33474731445312,350.5199890136719,7.156108379364014,0.13527126610279083,1.0,0.5249999761581421,1.0,0.5249999761581421,4.199999809265137,0.0,0.008273594081401825,415.0697937011719,0.0,51.883724212646484
1,29.95472526550293,-95.33402252197266,358.1400146484375,7.156305313110352,0.5175650715827942,2.0,0.5764204263687134,1.0,0.5764204263687134,4.199999809265137,0.0,0.008273452520370483,231.5687713623047,0.0,31.78118133544922
2,29.954181671142578,-95.33330535888672,365.760009765625,7.156453609466553,0.4830789864063263,2.0,1.2555149793624878,1.0,1.2555149793624878,9.199999809265137,0.0,0.008273551240563393,248.12208557128906,0.10000000149011612,33.86097717285156
3,29.953638076782227,-95.33258819580078,373.3800048828125,7.156350135803223,0.44886690378189087,2.0,1.2484745979309082,1.0,1.2484745979309082,9.199999809265137,0.0,0.00827388558536768,264.54388427734375,0.10000000149011612,35.899600982666016
4,29.953094482421875,-95.33187103271484,381.0,7.155999660491943,0.4150848686695099,2.0,1.2415128946304321,1.0,1.2415128946304321,9.199999809265137,0.0,0.008274451829493046,280.75927734375,0.10000000149011612,37.88763427734375
5,29.952550888061523,-95.33114624023438,388.6199951171875,7.155405521392822,0.38188254833221436,2.0,1.2346283197402954,1.0,1.2346283197402954,9.199999809265137,0.0,0.008275245316326618,296.6963806152344,0.10000000149011612,39.81627655029297
6,29.95200538635254,-95.33042907714844,396.239990234375,7.154572010040283,0.34940284490585327,2.0,1.227819800376892,1.0,1.227819800376892,9.199999809265137,0.0,0.008276263251900673,312.28662109375,0.10000000149011612,41.67736053466797
7,29.951461791992188,-95.3297119140625,403.8599853515625,7.153503894805908,0.31778132915496826,2.0,1.221086025238037,1.0,1.221086025238037,9.199999809265137,0.0,0.008277500979602337,327.4649658203125,0.10000000149011612,43.463356018066406
8,29.950918197631836,-95.32899475097656,411.4800109863281,7.152204513549805,0.2871459722518921,2.0,1.2144256830215454,1.0,1.2144256830215454,9.199999809265137,0.0,0.008278955705463886,342.169921875,0.10000000149011612,45.167388916015625
9,29.950374603271484,-95.32827758789062,419.1000061035156,7.150678634643555,0.25761678814888,2.0,1.207837700843811,1.0,1.207837700843811,9.199999809265137,0.0,0.008280623704195023,356.34393310546875,0.10000000149011612,46.78322219848633
10,29.949831008911133,-95.32755279541016,426.7200012207031,7.148929119110107,0.22930562496185303,2.0,1.2013208866119385,1.0,1.2013208866119385,9.199999809265137,0.0,0.008282500319182873,369.93328857421875,0.10000000149011612,48.30527877807617
11,29.94928741455078,-95.32683563232422,434.3399963378906,7.146960735321045,0.20231591165065765,2.0,1.1948739290237427,1.0,1.1948739290237427,9.199999809265137,0.0,0.008284582756459713,382.88836669921875,0.10000000149011612,49.72862243652344
12,29.94874382019043,-95.32611846923828,441.9599914550781,7.144776821136475,0.17674250900745392,2.0,1.1884958744049072,1.0,1.1884958744049072,9.199999809265137,0.0,0.00828686822205782,395.1636047363281,0.10000000149011612,51.048946380615234
13,29.948200225830078,-95.32540130615234,449.5799865722656,7.142381191253662,0.5884485244750977,3.0,1.1821856498718262,1.0,1.1821856498718262,9.199999809265137,0.0,0.008289352059364319,197.54470825195312,0.10000000149011612,25.384187698364258
14,29.947650909423828,-95.32461547851562,455.2950134277344,7.139777660369873,0.6200278401374817,3.0,1.238500714302063,1.0,1.238500714302063,9.199999809265137,0.0,0.008292189799249172,182.38662719726562,0.10000000149011612,24.55282211303711
15,29.947099685668945,-95.32383728027344,461.010009765625,7.136805057525635,0.6525723934173584,3.0,1.229729175567627,1.0,1.229729175567627,9.199999809265137,0.0,0.008295235224068165,166.7652587890625,0.10000000149011612,22.29088020324707
16,29.946550369262695,-95.32305908203125,466.7250061035156,7.133615493774414,0.6841958165168762,3.0,1.2210811376571655,1.0,1.2210811376571655,9.199999809265137,0.0,0.008298483677208424,151.58599853515625,0.10000000149011612,20.119434356689453
17,29.945999145507812,-95.32227325439453,472.44000244140625,7.130214691162109,0.7147747874259949,3.0,1.212553858757019,1.0,1.212553858757019,9.199999809265137,0.0,0.00830193143337965,136.90811157226562,0.10000000149011612,18.044397354125977
18,29.945449829101562,-95.32149505615234,478.1549987792969,7.126607418060303,0.7441948652267456,3.0,1.2041449546813965,1.0,1.2041449546813965,9.199999809265137,0.0,0.008305571973323822,122.78646850585938,0.10000000149011612,16.070945739746094
19,29.944900512695312,-95.32070922851562,483.8699951171875,7.122798919677734,0.7723509669303894,3.0,1.1958519220352173,1.0,1.1958519220352173,9.199999809265137,0.0,0.008309402503073215,109.27154541015625,0.10000000149011612,14.20354175567627
20,29.94434928894043,-95.31993103027344,489.5849914550781,7.118793964385986,0.7991471290588379,3.0,1.1876723766326904,1.0,1.1876723766326904,9.199999809265137,0.0,0.008313418366014957,96.40937805175781,0.10000000149011612,12.445951461791992
21,29.94379997253418,-95.31915283203125,495.29998779296875,7.114596843719482,0.8244967460632324,3.0,1.179603934288025,1.0,1.179603934288025,9.199999809265137,0.0,0.008317614905536175,84.2415542602539,0.10000000149011612,10.801268577575684
22,29.94325065612793,-95.31836700439453,501.0150146484375,7.110213279724121,0.8483223915100098,3.0,1.1716445684432983,1.0,1.1716445684432983,9.199999809265137,0.0,0.008321989327669144,72.80523681640625,0.10000000149011612,9.271941184997559
23,29.942699432373047,-95.31758880615234,506.7300109863281,7.105647087097168,0.8705558180809021,3.0,1.1637918949127197,1.0,1.1637918949127197,9.199999809265137,0.0,0.008326536044478416,62.13322067260742,0.10000000149011612,7.859797477722168
24,29.942150115966797,-95.31680297851562,512.4450073242188,7.100903034210205,0.8911375999450684,3.0,1.1560438871383667,1.0,1.1560438871383667,9.199999809265137,0.0,0.008331251330673695,52.25394821166992,0.10000000149011612,6.566071033477783
25,29.941600799560547,-95.31602478027344,518.1599731445312,7.095984935760498,0.9100174307823181,3.0,1.1483982801437378,1.0,1.1483982801437378,9.199999809265137,0.0,0.008336132392287254,43.191627502441406,0.10000000149011612,5.3914337158203125
26,29.941049575805664,-95.31524658203125,523.875,7.090898036956787,0.747834324836731,4.0,1.1408532857894897,1.0,1.1408532857894897,9.199999809265137,0.0,0.008341174572706223,121.03952026367188,0.10000000149011612,15.009600639343262
27,29.940500259399414,-95.31446075439453,529.5900268554688,7.08564567565918,0.7203024625778198,4.0,1.1334067583084106,1.0,1.1334067583084106,9.199999809265137,0.0,0.0083463741466403,134.2548065185547,0.10000000149011612,16.53970718383789
28,29.939950942993164,-95.31368255615234,535.3049926757812,7.080232620239258,0.6921027898788452,4.0,1.1260569095611572,1.0,1.1260569095611572,9.199999809265137,0.0,0.008351728320121765,147.79066467285156,0.10000000149011612,18.08920669555664
29,29.93939971923828,-95.31289672851562,541.02001953125,7.074662685394287,0.6633564233779907,4.0,1.1188018321990967,1.0,1.1188018321990967,9.199999809265137,0.0,0.008357232436537743,161.58889770507812,0.10000000149011612,19.65064811706543
30,29.938831329345703,-95.31202697753906,545.3062744140625,7.068939685821533,0.6341829299926758,4.0,1.2065194845199585,1.0,1.2065194845199585,9.199999809265137,0.0,0.00836338009685278,175.5922088623047,0.10000000149011612,23.02776336669922
31,29.938262939453125,-95.31114959716797,549.592529296875,7.0625529289245605,0.6021636128425598,4.0,1.1972019672393799,1.0,1.1972019672393799,9.199999809265137,0.0,0.008369690738618374,190.9614715576172,0.10000000149011612,24.849939346313477
32,29.937694549560547,-95.31027221679688,553.8787231445312,7.05600118637085,0.5699525475502014,4.0,1.188027262687683,1.0,1.188027262687683,9.199999809265137,0.0,0.008376160636544228,206.4227752685547,0.10000000149011612,26.65607452392578
33,29.937124252319336,-95.30940246582031,558.1649780273438,7.049289226531982,0.5376921892166138,4.0,1.1789921522140503,1.0,1.1789921522140503,9.199999809265137,0.0,0.008382785134017467,221.90773010253906,0.10000000149011612,28.43777084350586
34,29.936555862426758,-95.30852508544922,562.4512329101562,7.042422771453857,0.5055199861526489,4.0,1.1700935363769531,1.0,1.1700935363769531,9.199999809265137,0.0,0.008389560505747795,237.3504180908203,0.10000000149011612,30.187196731567383
35,29.93598747253418,-95.30764770507812,566.7374877929688,7.03540563583374,0.47356754541397095,4.0,1.1613283157348633,1.0,1.1613283157348633,9.199999809265137,0.0,0.008396481163799763,252.6875762939453,0.10000000149011612,31.897090911865234
36,29.9354190826416,-95.30677795410156,571.0237426757812,7.028243064880371,0.4419609606266022,4.0,1.152693510055542,1.0,1.152693510055542,9.199999809265137,0.0,0.008403544314205647,267.8587341308594,0.10000000149011612,33.56076431274414
37,29.934850692749023,-95.30590057373047,575.3099975585938,7.020939826965332,0.4108200669288635,4.0,1.14418625831604,1.0,1.14418625831604,9.199999809265137,0.0,0.008410745300352573,282.8063659667969,0.10000000149011612,35.172080993652344
38,29.934280395507812,-95.30502319335938,579.5962524414062,7.013499736785889,0.38025838136672974,4.0,1.1358035802841187,1.0,1.1358035802841187,9.199999809265137,0.0,0.00841808132827282,297.4759826660156,0.10000000149011612,36.725467681884766
39,29.933712005615234,-95.30415344238281,583.8825073242188,7.005927562713623,0.3503829836845398,4.0,1.1275429725646973,1.0,1.1275429725646973,9.199999809265137,0.0,0.008425546810030937,311.816162109375,0.10000000149011612,38.215885162353516
40,29.933143615722656,-95.30327606201172,588.1687622070312,6.998227119445801,0.9202747344970703,5.0,1.1194018125534058,1.0,1.1194018125534058,9.199999809265137,0.0,0.008433139882981777,38.26811218261719,0.10000000149011612,4.656238555908203
41,29.932575225830078,-95.30239868164062,592.4550170898438,6.990403175354004,0.9029330611228943,5.0,1.111377239227295,1.0,1.111377239227295,9.199999809265137,0.0,0.008440856821835041,46.59214401245117,0.10000000149011612,5.628418445587158
42,29.9320068359375,-95.30152130126953,596.7412719726562,6.982459545135498,0.8842248916625977,5.0,1.1034671068191528,1.0,1.1034671068191528,9.199999809265137,0.0,0.008448692969977856,55.57204818725586,0.10000000149011612,6.665426731109619
43,29.931438446044922,-95.30065155029297,601.0275268554688,6.974399566650391,0.8642485737800598,5.0,1.0956687927246094,1.0,1.0956687927246094,9.199999809265137,0.0,0.008456645533442497,65.16068267822266,0.10000000149011612,7.760274410247803
44,29.93086814880371,-95.29977416992188,605.313720703125,6.966227054595947,0.8431037068367004,5.0,1.0879799127578735,1.0,1.0879799127578735,9.199999809265137,0.0,0.008464711718261242,75.31023406982422,0.10000000149011612,8.906089782714844
45,29.930299758911133,-95.29889678955078,609.5999755859375,6.957946300506592,0.8208907246589661,5.0,1.0803983211517334,1.0,1.0803983211517334,9.199999809265137,0.0,0.008472887799143791,85.97245788574219,0.10000000149011612,10.096141815185547
46,29.929643630981445,-95.29792022705078,614.8387451171875,6.949560642242432,0.7977105975151062,5.0,1.2151598930358887,1.0,1.2151598930358887,9.199999809265137,0.0,0.008482282049953938,97.0988998413086,0.10000000149011612,12.825075149536133
47,29.928987503051758,-95.29693603515625,620.0775146484375,6.939935684204102,0.7704042196273804,5.0,1.206221103668213,1.0,1.206221103668213,9.199999809265137,0.0,0.008491814136505127,110.20597839355469,0.10000000149011612,14.449214935302734
48,29.92833137512207,-95.29595947265625,625.3162231445312,6.930180549621582,0.7421200275421143,5.0,1.1974128484725952,1.0,1.1974128484725952,9.199999809265137,0.0,0.008501478470861912,123.78240203857422,0.10000000149011612,16.110721588134766
49,29.927675247192383,-95.29497528076172,630.5549926757812,6.920300483703613,0.7130023241043091,5.0,1.188732385635376,1.0,1.188732385635376,9.199999809265137,0.0,0.008511272259056568,137.75889587402344,0.10000000149011612,17.799833297729492
50,29.927019119262695,-95.29399108886719,635.7937622070312,6.910299777984619,0.6831939220428467,5.0,1.1801769733428955,1.0,1.1801769733428955,9.199999809265137,0.0,0.008521190844476223,152.06690979003906,0.10000000149011612,19.507160186767578
51,29.926362991333008,-95.29301452636719,641.032470703125,6.90018367767334,0.6528356075286865,5.0,1.1717438697814941,1.0,1.1717438697814941,9.199999809265137,0.0,0.008531231433153152,166.63890075683594,0.10000000149011612,21.223709106445312
52,29.92570686340332,-95.29203033447266,646.271240234375,6.889955520629883,0.6220654845237732,5.0,1.1634305715560913,1.0,1.1634305715560913,9.199999809265137,0.0,0.008541389368474483,181.40855407714844,0.10000000149011612,22.940898895263672
53,29.925050735473633,-95.29105377197266,651.510009765625,6.879619598388672,0.49362021684646606,6.0,1.155234456062317,1.0,1.155234456062317,9.199999809265137,0.0,0.008551660925149918,243.0623016357422,0.10000000149011612,30.521080017089844
54,29.924394607543945,-95.29006958007812,656.748779296875,6.869180202484131,0.5251682996749878,6.0,1.1471530199050903,1.0,1.1471530199050903,9.199999809265137,0.0,0.008562043309211731,227.91920471191406,0.10000000149011612,28.419368743896484
55,29.923736572265625,-95.2890853881836,661.9874877929688,6.858641624450684,0.5563968420028687,6.0,1.1391839981079102,1.0,1.1391839981079102,9.199999809265137,0.0,0.008572532795369625,212.9295196533203,0.10000000149011612,26.365856170654297
56,29.923080444335938,-95.2881088256836,667.2262573242188,6.848006725311279,0.5871895551681519,6.0,1.1313248872756958,1.0,1.1313248872756958,9.199999809265137,0.0,0.008583125658333302,198.14901733398438,0.10000000149011612,24.366405487060547
57,29.92242431640625,-95.28712463378906,672.4650268554688,6.8372802734375,0.617435872554779,6.0,1.123573660850525,1.0,1.123573660850525,9.199999809265137,0.0,0.008593820035457611,183.63076782226562,0.10000000149011612,22.426380157470703
58,29.921768188476562,-95.28614044189453,677.7037353515625,6.826465129852295,0.647031307220459,6.0,1.1159279346466064,1.0,1.1159279346466064,9.199999809265137,0.0,0.00860461127012968,169.42495727539062,0.10000000149011612,20.550657272338867
59,29.921112060546875,-95.28516387939453,682.9425048828125,6.8155646324157715,0.6758773326873779,6.0,1.1083855628967285,1.0,1.1083855628967285,9.199999809265137,0.0,0.008615496568381786,155.57887268066406,0.10000000149011612,18.743627548217773
60,29.920455932617188,-95.2841796875,688.1812744140625,6.8045830726623535,0.7038816809654236,6.0,1.1009445190429688,1.0,1.1009445190429688,9.199999809265137,0.0,0.008626474067568779,142.13681030273438,0.10000000149011612,17.00921058654785
61,29.9197998046875,-95.283203125,693.4199829101562,6.79352331161499,0.7309582233428955,6.0,1.0936028957366943,1.0,1.0936028957366943,9.199999809265137,0.0,0.00863754004240036,129.14004516601562,0.10000000149011612,15.350862503051758
62,29.919055938720703,-95.28216552734375,704.8499755859375,6.782388210296631,0.7570273876190186,6.0,1.1810492277145386,1.0,1.1810492277145386,9.199999809265137,0.0,0.008649647235870361,116.62686157226562,0.10000000149011612,14.971962928771973
63,29.91831398010254,-95.28113555908203,716.280029296875,6.770221710205078,0.7841480374336243,6.0,1.1774340867996216,1.0,1.1774340867996216,9.199999809265137,0.0,0.008661903440952301,103.60894012451172,0.10000000149011612,13.260075569152832
64,29.917570114135742,-95.28009796142578,727.7100219726562,6.757922649383545,0.8100084662437439,6.0,1.1738409996032715,1.0,1.1738409996032715,9.199999809265137,0.0,0.00867430679500103,91.19593048095703,0.10000000149011612,11.635817527770996
65,29.916826248168945,-95.27906799316406,739.1400146484375,6.7454938888549805,0.8345134258270264,6.0,1.1702698469161987,1.0,1.1702698469161987,9.199999809265137,0.0,0.008686854504048824,79.43354034423828,0.10000000149011612,10.104204177856445
66,29.91608238220215,-95.27803039550781,750.5700073242188,6.732938289642334,0.6816065311431885,7.0,1.1667203903198242,1.0,1.1667203903198242,9.199999809265137,0.0,0.008699544705450535,152.828857421875,0.10000000149011612,19.381362915039062
67,29.915340423583984,-95.2770004272461,762.0,6.720258712768555,0.7109135389328003,7.0,1.1631923913955688,1.0,1.1631923913955688,9.199999809265137,0.0,0.008712375536561012,138.76148986816406,0.10000000149011612,17.544164657592773
68,29.914596557617188,-95.27597045898438,773.4299926757812,6.707458019256592,0.7392792105674744,7.0,1.159685730934143,1.0,1.159685730934143,9.199999809265137,0.0,0.008725344203412533,125.1459732055664,0.10000000149011612,15.77500057220459
69,29.91385269165039,-95.27493286132812,784.8599853515625,6.694538116455078,0.7665977478027344,7.0,1.1562001705169678,1.0,1.1562001705169678,9.199999809265137,0.0,0.008738448843359947,112.03308868408203,0.10000000149011612,14.079639434814453
70,29.913110733032227,-95.2739028930664,796.2899780273438,6.681502342224121,0.7927691340446472,7.0,1.1527355909347534,1.0,1.1527355909347534,9.199999809265137,0.0,0.008751687593758106,99.47081756591797,0.10000000149011612,12.46342945098877
71,29.91236686706543,-95.27286529541016,807.719970703125,6.66835355758667,0.8176995515823364,7.0,1.1492916345596313,1.0,1.1492916345596313,9.199999809265137,0.0,0.00876505859196186,87.50422668457031,0.10000000149011612,10.931291580200195
72,29.911623001098633,-95.27183532714844,819.1500244140625,6.655093669891357,0.8413013815879822,7.0,1.1458683013916016,1.0,1.1458683013916016,9.199999809265137,0.0,0.008778559044003487,76.17533111572266,0.10000000149011612,9.487706184387207
73,29.910879135131836,-95.27079772949219,830.5800170898438,6.641725540161133,0.8634937405586243,7.0,1.142465353012085,1.0,1.142465353012085,9.199999809265137,0.0,0.008792187087237835,65.52300262451172,0.10000000149011612,8.136713027954102
74,29.910137176513672,-95.26976776123047,842.010009765625,6.628251552581787,0.8842023611068726,7.0,1.1390825510025024,1.0,1.1390825510025024,9.199999809265137,0.0,0.008805940859019756,55.58286666870117,0.10000000149011612,6.881899356842041
75,29.909393310546875,-95.26873016357422,853.4400024414062,6.6146745681762695,0.9033598899841309,7.0,1.1357197761535645,1.0,1.1357197761535645,9.199999809265137,0.0,0.008819818496704102,46.38725280761719,0.10000000149011612,5.726403713226318
76,29.908649444580078,-95.2677001953125,864.8699951171875,6.600996494293213,0.9209060668945312,7.0,1.132376790046692,1.0,1.132376790046692,9.199999809265137,0.0,0.008833818137645721,37.9650993347168,0.10000000149011612,4.67291259765625
77,29.907907485961914,-95.26667022705078,876.2999877929688,6.587220668792725,0.9367876052856445,7.0,1.1290533542633057,1.0,1.1290533542633057,9.199999809265137,0.0,0.008847937919199467,30.341943740844727,0.10000000149011612,3.723660469055176
