step, lat, lon, alt, snr, load, handovers, allocated_bw, allocation_ratio, demand_MB, throughput_req, queing_delay_s, propagation_latency_s, transmission_rate_mbps, latency_req_s, beam_capacity, service_drop_s, dwell_remaining_s, ttt_remaining_s
0,29.956899642944336,-95.33689880371094,327.6600036621094,18.503131866455078,0.6591103076934814,0.0,0.0,0.0,0.5625,4.5,1000.0,0.05270849168300629,0.0,0.20000000298023224,60.0,1.0,5.0,0.0
1,29.954181671142578,-95.33330535888672,365.760009765625,8.830511093139648,0.6583361029624939,0.0,3.0705339908599854,1.0,3.0705339908599854,4.5,0.0,0.053988978266716,4.5,0.20000000298023224,327.52362060546875,0.0,4.0,0.0
2,29.951461791992188,-95.3297119140625,403.8599853515625,8.818869590759277,0.6674675345420837,0.0,2.9863333702087402,1.0,2.9863333702087402,4.5,0.0,0.05319640412926674,4.5,0.20000000298023224,318.542236328125,0.0,0.0,5.0
3,29.94874382019043,-95.32611846923828,441.9599914550781,17.458019256591797,0.6788358688354492,1.0,2.906629800796509,1.0,2.906629800796509,4.5,0.0,0.0529150515794754,4.5,0.20000000298023224,310.04052734375,0.0,5.0,0.0
4,29.945999145507812,-95.32227325439453,472.44000244140625,9.066678047180176,0.6640035510063171,1.0,2.934174060821533,1.0,2.934174060821533,4.5,0.0,0.05250038579106331,4.5,0.20000000298023224,312.97857666015625,0.0,0.0,5.0
5,29.94325065612793,-95.31836700439453,501.0150146484375,22.478824615478516,0.6710619330406189,2.0,2.8654162883758545,1.0,2.8654162883758545,4.5,0.0,0.055982138961553574,4.5,0.20000000298023224,305.6444091796875,0.0,5.0,0.0
6,29.940500259399414,-95.31446075439453,529.5900268554688,8.920010566711426,0.6616528630256653,2.0,2.7719006538391113,1.0,2.7719006538391113,4.5,0.0,0.05254323408007622,4.5,0.20000000298023224,295.6694030761719,0.0,0.0,5.0
7,29.937694549560547,-95.31027221679688,553.8787231445312,8.769492149353027,0.6510470509529114,2.0,2.812102794647217,1.0,2.812102794647217,4.5,0.0,0.053229521960020065,4.5,0.20000000298023224,299.9576416015625,0.0,0.0,0.07217676192522049
8,29.934850692749023,-95.30590057373047,575.3099975585938,20.502906799316406,0.7045316696166992,3.0,2.7982611656188965,1.0,2.7982611656188965,4.5,0.0,0.053769178688526154,4.5,0.20000000298023224,298.481201171875,0.0,5.0,0.0
9,29.9320068359375,-95.30152130126953,596.7412719726562,9.286669731140137,0.7069530487060547,3.0,2.6986773014068604,1.0,2.6986773014068604,4.5,0.0,0.05370279774069786,4.5,0.20000000298023224,287.85888671875,0.0,0.025313377380371094,0.0
10,29.928987503051758,-95.29693603515625,620.0775146484375,9.28138542175293,0.7122839093208313,3.0,2.741957902908325,1.0,2.741957902908325,4.5,0.0,0.05515911430120468,4.5,0.20000000298023224,292.4754943847656,0.0,0.0,5.0
11,29.92570686340332,-95.29203033447266,646.271240234375,9.315126419067383,0.6965864300727844,3.0,2.845323324203491,1.0,2.845323324203491,4.5,0.0,0.051285091787576675,4.5,0.20000000298023224,303.50115966796875,0.0,0.0,0.12540817260742188
12,29.92242431640625,-95.28712463378906,672.4650268554688,9.032220840454102,0.6914221048355103,3.0,2.74784779548645,1.0,2.74784779548645,4.5,0.0,0.05153505504131317,4.5,0.20000000298023224,293.103759765625,0.0,0.0,5.0
13,29.919055938720703,-95.28216552734375,704.8499755859375,8.904391288757324,0.6886470913887024,3.0,2.7104668617248535,1.0,2.7104668617248535,4.5,0.0,0.05319570004940033,4.5,0.20000000298023224,289.116455078125,0.0,0.0,0.11493728309869766
